overall,neg,neu,pos,compound
2.0, 0.113, 0.8, 0.087, -0.1997
  5.0, 0.0, 0.792, 0.208, 0.7245
  1.0, 0.191, 0.809, 0.0, -0.6369
  4.0, 0.195, 0.658, 0.147, -0.3071
  5.0, 0.085, 0.725, 0.19, 0.9823
  5.0, 0.209, 0.714, 0.077, -0.9982
  3.0, 0.0, 0.872, 0.128, 0.3612
  3.0, 0.147, 0.766, 0.086, -0.7389
  5.0, 0.0, 0.51, 0.49, 0.9776
  3.0, 0.08, 0.747, 0.173, 0.3818
  4.0, 0.0, 0.415, 0.585, 0.9538
  4.0, 0.0, 0.693, 0.307, 0.9475
  3.0, 0.0, 0.676, 0.324, 0.7314
  3.0, 0.073, 0.618, 0.309, 0.7579
  5.0, 0.083, 0.529, 0.388, 0.902
  2.0, 0.07, 0.697, 0.234, 0.5473
  3.0, 0.044, 0.752, 0.203, 0.8262
  3.0, 0.051, 0.689, 0.26, 0.9897
  5.0, 0.091, 0.456, 0.453, 0.8834
  5.0, 0.058, 0.529, 0.412, 0.9812
  3.0, 0.033, 0.856, 0.112, 0.4854
  5.0, 0.145, 0.525, 0.33, 0.7451
  5.0, 0.0, 0.597, 0.403, 0.9033
  5.0, 0.0, 0.776, 0.224, 0.9382
  3.0, 0.05, 0.841, 0.109, 0.2523
  3.0, 0.043, 0.634, 0.323, 0.9129
  3.0, 0.0, 0.743, 0.257, 0.9841
  5.0, 0.0, 0.678, 0.322, 0.8858
  5.0, 0.018, 0.719, 0.263, 0.9463
  5.0, 0.0, 0.597, 0.403, 0.8959
  3.0, 0.0, 0.652, 0.348, 0.962
  1.0, 0.138, 0.738, 0.124, 0.3425
  1.0, 0.21, 0.589, 0.202, -0.0588
  5.0, 0.031, 0.388, 0.581, 0.9692
  5.0, 0.041, 0.804, 0.155, 0.9875
  3.0, 0.067, 0.791, 0.141, 0.4146
  5.0, 0.075, 0.631, 0.294, 0.9984
  4.0, 0.052, 0.711, 0.237, 0.9097
  5.0, 0.133, 0.672, 0.195, 0.8954
  1.0, 0.26, 0.74, 0.0, -0.6439
  5.0, 0.0, 0.688, 0.312, 0.9558
  4.0, 0.05, 0.67, 0.279, 0.979
  3.0, 0.13, 0.628, 0.243, 0.8206
  5.0, 0.197, 0.523, 0.28, 0.4327
  5.0, 0.101, 0.79, 0.11, 0.7099
  5.0, 0.019, 0.77, 0.212, 0.9615
  4.0, 0.0, 0.814, 0.186, 0.9642
  5.0, 0.283, 0.483, 0.235, -0.2714
  5.0, 0.109, 0.562, 0.328, 0.8126
  5.0, 0.093, 0.622, 0.285, 0.9736
  5.0, 0.044, 0.734, 0.222, 0.8484
  5.0, 0.046, 0.773, 0.182, 0.5789
  5.0, 0.01, 0.784, 0.206, 0.9756
  5.0, 0.142, 0.577, 0.281, 0.8805
  5.0, 0.217, 0.505, 0.278, -0.4471
  5.0, 0.334, 0.482, 0.184, -0.719
  2.0, 0.0, 0.868, 0.132, 0.4404
  5.0, 0.084, 0.793, 0.122, 0.9833
  5.0, 0.078, 0.787, 0.134, 0.9752
  5.0, 0.105, 0.788, 0.107, -0.2603
  5.0, 0.04, 0.799, 0.161, 0.9376
  1.0, 0.141, 0.777, 0.082, -0.8979
  5.0, 0.065, 0.732, 0.203, 0.6784
  4.0, 0.043, 0.885, 0.071, 0.5632
  5.0, 0.1, 0.773, 0.127, 0.1513
  5.0, 0.136, 0.719, 0.145, 0.5213
  4.0, 0.123, 0.764, 0.113, -0.6613
  5.0, 0.108, 0.695, 0.197, 0.9739
  5.0, 0.094, 0.737, 0.17, 0.6884
  5.0, 0.019, 0.837, 0.143, 0.99
  5.0, 0.036, 0.755, 0.209, 0.9491
  5.0, 0.0, 0.748, 0.252, 0.8122
  5.0, 0.0, 0.754, 0.246, 0.9368
  5.0, 0.03, 0.893, 0.077, 0.5423
  5.0, 0.07, 0.83, 0.1, 0.7286
  5.0, 0.101, 0.661, 0.237, 0.9323
  5.0, 0.045, 0.723, 0.232, 0.9299
  5.0, 0.0, 0.867, 0.133, 0.7992
  5.0, 0.0, 0.605, 0.395, 0.908
  4.0, 0.0, 0.708, 0.292, 0.9572
  5.0, 0.033, 0.815, 0.151, 0.9898
  5.0, 0.0, 0.551, 0.449, 0.8857
  5.0, 0.087, 0.813, 0.1, 0.5204
  5.0, 0.0, 0.612, 0.388, 0.8591
  5.0, 0.086, 0.735, 0.179, 0.4404
  4.0, 0.0, 0.406, 0.594, 0.9484
  5.0, 0.0, 0.686, 0.314, 0.4939
  5.0, 0.022, 0.75, 0.228, 0.93
  4.0, 0.056, 0.795, 0.149, 0.5859
  5.0, 0.232, 0.625, 0.143, -0.4828
  4.0, 0.15, 0.752, 0.097, -0.9335
  5.0, 0.158, 0.813, 0.029, -0.9514
  5.0, 0.0, 0.687, 0.313, 0.9393
  5.0, 0.089, 0.666, 0.245, 0.8279
  5.0, 0.0, 0.759, 0.241, 0.7906
  5.0, 0.0, 0.739, 0.261, 0.8481
  4.0, 0.0, 0.819, 0.181, 0.8481
  5.0, 0.0, 0.68, 0.32, 0.8849
  5.0, 0.086, 0.805, 0.109, 0.4939
  5.0, 0.129, 0.751, 0.12, -0.6802
  4.0, 0.0, 0.694, 0.306, 0.9076
  5.0, 0.065, 0.782, 0.153, 0.9246
  5.0, 0.104, 0.758, 0.138, 0.34
  5.0, 0.0, 1.0, 0.0, 0.0
  5.0, 0.0, 0.528, 0.472, 0.9449
  4.0, 0.0, 0.531, 0.469, 0.969
  5.0, 0.075, 0.859, 0.066, -0.8601
  5.0, 0.0, 0.598, 0.402, 0.9337
  5.0, 0.0, 0.875, 0.125, 0.631
  3.0, 0.218, 0.735, 0.047, -0.8494
  5.0, 0.072, 0.791, 0.137, 0.5337
  3.0, 0.0, 0.842, 0.158, 0.8779
  2.0, 0.0, 0.885, 0.115, 0.8225
  3.0, 0.0, 0.794, 0.206, 0.6145
  3.0, 0.095, 0.905, 0.0, -0.296
  4.0, 0.016, 0.804, 0.181, 0.9646
  5.0, 0.087, 0.708, 0.206, 0.7078
  5.0, 0.03, 0.787, 0.183, 0.9577
  4.0, 0.0, 0.802, 0.198, 0.7845
  3.0, 0.121, 0.814, 0.065, -0.7598
